yourlist:M201912106746803381A1F0E0DB47453E0216320D314B872,Entry,Entry name,Status,Protein names,Gene names,Organism,Length
EPM2A,A0A1W2PP62,A0A1W2PP62_HUMAN,unreviewed,"Laforin, isoform 9 (Fragment)",EPM2A,Homo sapiens (Human),18
EPM2A,A0A1W2PPJ6,A0A1W2PPJ6_HUMAN,unreviewed,"Laforin, isoform 9",EPM2A,Homo sapiens (Human),86
EPM2A,A0A1W2PPT8,A0A1W2PPT8_HUMAN,unreviewed,"Laforin, isoform 9 (Fragment)",EPM2A,Homo sapiens (Human),209
EPM2A,A0A1W2PQ84,A0A1W2PQ84_HUMAN,unreviewed,"Laforin, isoform 9 (Fragment)",EPM2A,Homo sapiens (Human),127
EPM2A,A0A1W2PRC9,A0A1W2PRC9_HUMAN,unreviewed,"Laforin, isoform 9",EPM2A,Homo sapiens (Human),70
EPM2A,A0A1W2PRS5,A0A1W2PRS5_HUMAN,unreviewed,"Laforin, isoform 9 (Fragment)",EPM2A,Homo sapiens (Human),134
EPM2A,B3EWF7,EP2A2_HUMAN,reviewed,"Laforin, isoform 9",EPM2A,Homo sapiens (Human),344
EPM2A,H0UI04,H0UI04_HUMAN,unreviewed,"Epilepsy, progressive myoclonus type 2A, Lafora disease (Laforin), isoform CRA_a",EPM2A hCG_18063,Homo sapiens (Human),193
EPM2A,H0Y7S8,H0Y7S8_HUMAN,unreviewed,"Laforin, isoform 9 (Fragment)",EPM2A,Homo sapiens (Human),144
EPM2A,O95278,EPM2A_HUMAN,reviewed,Laforin (EC 3.1.3.-) (EC 3.1.3.16) (EC 3.1.3.48) (Glucan phosphatase) (Glycogen phosphatase) (Lafora PTPase) (LAFPTPase),EPM2A,Homo sapiens (Human),331
GRM1,Q13255,GRM1_HUMAN,reviewed,Metabotropic glutamate receptor 1 (mGluR1),GRM1 GPRC1A MGLUR1,Homo sapiens (Human),1194
IYD,C9JXJ9,C9JXJ9_HUMAN,unreviewed,Iodotyrosine deiodinase 1,IYD,Homo sapiens (Human),270
IYD,F5H543,F5H543_HUMAN,unreviewed,Iodotyrosine deiodinase 1,IYD,Homo sapiens (Human),192
IYD,F6VN83,F6VN83_HUMAN,unreviewed,Iodotyrosine deiodinase 1,IYD,Homo sapiens (Human),284
IYD,H7C0X6,H7C0X6_HUMAN,unreviewed,Iodotyrosine deiodinase 1 (Fragment),IYD,Homo sapiens (Human),89
IYD,Q6PHW0,IYD1_HUMAN,reviewed,Iodotyrosine deiodinase 1 (IYD-1) (EC 1.21.1.1) (Iodotyrosine dehalogenase 1),IYD C6orf71 DEHAL1,Homo sapiens (Human),289
RMND1,A0A087WXU0,A0A087WXU0_HUMAN,unreviewed,Required for meiotic nuclear division protein 1 homolog,RMND1,Homo sapiens (Human),279
RMND1,A0A2R8Y4J4,A0A2R8Y4J4_HUMAN,unreviewed,Required for meiotic nuclear division protein 1 homolog,RMND1,Homo sapiens (Human),444
RMND1,A0A2R8Y4P5,A0A2R8Y4P5_HUMAN,unreviewed,Required for meiotic nuclear division protein 1 homolog (Fragment),RMND1,Homo sapiens (Human),127
RMND1,A0A2R8YFC3,A0A2R8YFC3_HUMAN,unreviewed,Required for meiotic nuclear division protein 1 homolog (Fragment),RMND1,Homo sapiens (Human),213
RMND1,A0A2U3TZJ1,A0A2U3TZJ1_HUMAN,unreviewed,Required for meiotic nuclear division protein 1 homolog,RMND1,Homo sapiens (Human),38
RMND1,Q9NWS8,RMND1_HUMAN,reviewed,Required for meiotic nuclear division protein 1 homolog,RMND1 C6orf96,Homo sapiens (Human),449
SYNE1,A0A087WYJ5,A0A087WYJ5_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),477
SYNE1,A0A0C4DG40,A0A0C4DG40_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),8749
SYNE1,A0A0C4DH48,A0A0C4DH48_HUMAN,unreviewed,Nesprin-1 (Fragment),SYNE1,Homo sapiens (Human),510
SYNE1,A0A1Z2R910,A0A1Z2R910_HUMAN,unreviewed,Synaptic nuclear envelope protein 1 (Fragment),SYNE1,Homo sapiens (Human),68
SYNE1,A7E2D5,A7E2D5_HUMAN,unreviewed,SYNE1 protein (Fragment),SYNE1,Homo sapiens (Human),1362
SYNE1,E7ENN3,E7ENN3_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),8392
SYNE1,E9PEL9,E9PEL9_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),380
SYNE1,F5GXQ8,F5GXQ8_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),1433
SYNE1,F5GYQ7,F5GYQ7_HUMAN,unreviewed,Nesprin-1 (Fragment),SYNE1,Homo sapiens (Human),615
SYNE1,F5GZ83,F5GZ83_HUMAN,unreviewed,Nesprin-1 (Fragment),SYNE1,Homo sapiens (Human),195
SYNE1,F5H422,F5H422_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),612
SYNE1,F5H4Q0,F5H4Q0_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),754
SYNE1,F5H6R8,F5H6R8_HUMAN,unreviewed,Nesprin-1 (Fragment),SYNE1,Homo sapiens (Human),242
SYNE1,F8WAI0,F8WAI0_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),975
SYNE1,H0Y325,H0Y325_HUMAN,unreviewed,Nesprin-1 (Fragment),SYNE1,Homo sapiens (Human),1654
SYNE1,H0Y326,H0Y326_HUMAN,unreviewed,Nesprin-1 (Fragment),SYNE1,Homo sapiens (Human),1355
SYNE1,H0YFT4,H0YFT4_HUMAN,unreviewed,Nesprin-1 (Fragment),SYNE1,Homo sapiens (Human),62
SYNE1,H0YGD3,H0YGD3_HUMAN,unreviewed,Nesprin-1 (Fragment),SYNE1,Homo sapiens (Human),207
SYNE1,I6WNA2,I6WNA2_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),366
SYNE1,I6WZ08,I6WZ08_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),436
SYNE1,I6WZ14,I6WZ14_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),477
SYNE1,I6XKI8,I6XKI8_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),494
SYNE1,I6XKJ3,I6XKJ3_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),104
SYNE1,I6XTI3,I6XTI3_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),204
SYNE1,Q5BKU8,Q5BKU8_HUMAN,unreviewed,SYNE1 protein (Fragment),SYNE1,Homo sapiens (Human),997
SYNE1,Q5JV20,Q5JV20_HUMAN,unreviewed,Nesprin-1,SYNE1,Homo sapiens (Human),952
SYNE1,Q7RTM4,Q7RTM4_HUMAN,unreviewed,Spectrin-like protein of the nuclear envelope and Golgi,SYNE1,Homo sapiens (Human),8407
SYNE1,Q8NF91,SYNE1_HUMAN,reviewed,Nesprin-1 (Enaptin) (KASH domain-containing protein 1) (KASH1) (Myocyte nuclear envelope protein 1) (Myne-1) (Nuclear envelope spectrin repeat protein 1) (Synaptic nuclear envelope protein 1) (Syne-1),SYNE1 C6orf98 KIAA0796 KIAA1262 KIAA1756 MYNE1,Homo sapiens (Human),8797
ARID1B,A0A1B0GTE8,A0A1B0GTE8_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B,ARID1B,Homo sapiens (Human),97
ARID1B,A0A1B0GTI6,A0A1B0GTI6_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),312
ARID1B,A0A1B0GTJ8,A0A1B0GTJ8_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),1495
ARID1B,A0A1B0GU09,A0A1B0GU09_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),186
ARID1B,A0A1B0GU65,A0A1B0GU65_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),191
ARID1B,A0A1B0GUC6,A0A1B0GUC6_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),84
ARID1B,A0A1B0GUG2,A0A1B0GUG2_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),97
ARID1B,A0A1B0GV63,A0A1B0GV63_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),1349
ARID1B,A0A1B0GV92,A0A1B0GV92_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),93
ARID1B,A0A1B0GVH0,A0A1B0GVH0_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),96
ARID1B,A0A1B0GVK1,A0A1B0GVK1_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B,ARID1B,Homo sapiens (Human),1539
ARID1B,A0A1B0GWI8,A0A1B0GWI8_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),26
ARID1B,A0A1B0GWJ2,A0A1B0GWJ2_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B,ARID1B,Homo sapiens (Human),1479
ARID1B,A0A3F2YNW7,A0A3F2YNW7_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B,ARID1B,Homo sapiens (Human),2332
ARID1B,H0Y2R3,H0Y2R3_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),727
ARID1B,H0Y3S9,H0Y3S9_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),273
ARID1B,H0Y7H8,H0Y7H8_HUMAN,unreviewed,AT-rich interactive domain-containing protein 1B (Fragment),ARID1B,Homo sapiens (Human),1758
ARID1B,L8EAX2,L8EAX2_HUMAN,unreviewed,Alternative protein ARID1B,ARID1B,Homo sapiens (Human),103
ARID1B,Q8NFD5,ARI1B_HUMAN,reviewed,AT-rich interactive domain-containing protein 1B (ARID domain-containing protein 1B) (BRG1-associated factor 250b) (BAF250B) (BRG1-binding protein hELD/OSA1) (Osa homolog 2) (hOsa2) (p250R),ARID1B BAF250B DAN15 KIAA1235 OSA2,Homo sapiens (Human),2236
SERAC1,A0A2R8Y3S0,A0A2R8Y3S0_HUMAN,unreviewed,Protein SERAC1,SERAC1,Homo sapiens (Human),624
SERAC1,A0A2R8Y511,A0A2R8Y511_HUMAN,unreviewed,Protein SERAC1,SERAC1,Homo sapiens (Human),611
SERAC1,A0A2R8YCL0,A0A2R8YCL0_HUMAN,unreviewed,Protein SERAC1,SERAC1,Homo sapiens (Human),566
SERAC1,A0A2R8YD19,A0A2R8YD19_HUMAN,unreviewed,Protein SERAC1,SERAC1,Homo sapiens (Human),587
SERAC1,A0A2R8YFH3,A0A2R8YFH3_HUMAN,unreviewed,Protein SERAC1,SERAC1,Homo sapiens (Human),622
SERAC1,A0A3B3ISE8,A0A3B3ISE8_HUMAN,unreviewed,Protein SERAC1,SERAC1,Homo sapiens (Human),109
SERAC1,Q5JVM6,Q5JVM6_HUMAN,unreviewed,Protein SERAC1 (Fragment),SERAC1,Homo sapiens (Human),152
SERAC1,Q96JX3,SRAC1_HUMAN,reviewed,Protein SERAC1 (Serine active site-containing protein 1),SERAC1,Homo sapiens (Human),654
SERAC1,U3KQE4,U3KQE4_HUMAN,unreviewed,Protein SERAC1,SERAC1,Homo sapiens (Human),409
SERAC1,U3KQG3,U3KQG3_HUMAN,unreviewed,Protein SERAC1,SERAC1,Homo sapiens (Human),42
PLG,A0A0F7G8J1,A0A0F7G8J1_HUMAN,unreviewed,Plasminogen (EC 3.4.21.7),PLG,Homo sapiens (Human),809
PLG,A6PVI2,A6PVI2_HUMAN,unreviewed,Plasminogen (Fragment),PLG,Homo sapiens (Human),166
PLG,P00747,PLMN_HUMAN,reviewed,"Plasminogen (EC 3.4.21.7) [Cleaved into: Plasmin heavy chain A; Activation peptide; Angiostatin; Plasmin heavy chain A, short form; Plasmin light chain B]",PLG,Homo sapiens (Human),810
PLG,Q5TEH5,Q5TEH5_HUMAN,unreviewed,"HCG2029799, isoform CRA_b (Plasminogen)",PLG hCG_2029799,Homo sapiens (Human),136
PLG,Q9UMI2,Q9UMI2_HUMAN,unreviewed,PLG protein (Fragment),PLG,Homo sapiens (Human),53
PARK2,A0A0S2Z446,A0A0S2Z446_HUMAN,unreviewed,"Parkinson disease (Autosomal recessive, juvenile) 2, parkin, isoform CRA_b (Parkinson protein 2 E3 ubiquitin protein ligase isoform 1) (Fragment)",PARK2 hCG_2029643,Homo sapiens (Human),387
PARK2,A0A0S2Z447,A0A0S2Z447_HUMAN,unreviewed,Parkinson protein 2 E3 ubiquitin protein ligase isoform 3 (Fragment),PARK2,Homo sapiens (Human),367
PARK2,A0A1W5XGD7,A0A1W5XGD7_HUMAN,unreviewed,Parkin RBR E3 ubiquitin protein ligase (Fragment),PARK2,Homo sapiens (Human),39
PARK2,A0A1W5XGE1,A0A1W5XGE1_HUMAN,unreviewed,Parkin RBR E3 ubiquitin protein ligase (Fragment),PARK2,Homo sapiens (Human),28
PARK2,A0A1W5XGE7,A0A1W5XGE7_HUMAN,unreviewed,Parkin RBR E3 ubiquitin protein ligase (Fragment),PARK2,Homo sapiens (Human),28
PARK2,B1AKC3,B1AKC3_HUMAN,unreviewed,E3 ubiquitin-protein ligase parkin (Parkinson protein 2 E3 ubiquitin protein ligase isoform 2),PRKN PARK2,Homo sapiens (Human),368
PARK2,D3JZW5,D3JZW5_HUMAN,unreviewed,"Truncated parkin variant SV4,8DEL (Truncated parkin variant SV4DEL) (EC 6.3.2.19)",PARK2,Homo sapiens (Human),143
PARK2,D3K2X1,D3K2X1_HUMAN,unreviewed,"Truncated parkin variant SV3,8,9DEL (EC 6.3.2.19)",PARK2,Homo sapiens (Human),95
PARK2,D3K2X2,D3K2X2_HUMAN,unreviewed,Truncated parkin variant SV1bINS (EC 6.3.2.19),PARK2,Homo sapiens (Human),51
PARK2,M4T2U2,M4T2U2_HUMAN,unreviewed,PARK2 splice variant,PARK2,Homo sapiens (Human),34
PARK2,M4T4F2,M4T4F2_HUMAN,unreviewed,RBR-type E3 ubiquitin transferase (EC 2.3.2.31),PARK2,Homo sapiens (Human),530
PARK2,O60260,PRKN_HUMAN,reviewed,E3 ubiquitin-protein ligase parkin (Parkin) (EC 2.3.2.31) (Parkin RBR E3 ubiquitin-protein ligase) (Parkinson juvenile disease protein 2) (Parkinson disease protein 2),PRKN PARK2,Homo sapiens (Human),465
PARK2,Q5XNR7,Q5XNR7_HUMAN,unreviewed,Parkin (Fragment),PARK2,Homo sapiens (Human),80
PARK2,Q5XNR8,Q5XNR8_HUMAN,unreviewed,Parkin (Fragment),PARK2,Homo sapiens (Human),38
PARK2,Q6Q2I7,Q6Q2I7_HUMAN,unreviewed,Parkin (Fragment),PARK2,Homo sapiens (Human),38
PARK2,Q6Q2I8,Q6Q2I8_HUMAN,unreviewed,Parkin (Fragment),PARK2,Homo sapiens (Human),38
PARK2,Q6S8G7,Q6S8G7_HUMAN,unreviewed,Parkin (Fragment),PARK2,Homo sapiens (Human),40
PARK2,S4X465,S4X465_HUMAN,unreviewed,RBR-type E3 ubiquitin transferase (EC 2.3.2.31),PARK2,Homo sapiens (Human),358
PARK2,X5DNX0,X5DNX0_HUMAN,unreviewed,RBR-type E3 ubiquitin transferase (EC 2.3.2.31) (Fragment),PARK2,Homo sapiens (Human),465
PARK2,X5DR79,X5DR79_HUMAN,unreviewed,RBR-type E3 ubiquitin transferase (EC 2.3.2.31) (Fragment),PARK2,Homo sapiens (Human),465
RNASET2,A0A087WWI1,A0A087WWI1_HUMAN,unreviewed,Ribonuclease T2,RNASET2,Homo sapiens (Human),238
RNASET2,A0A087WZM2,A0A087WZM2_HUMAN,unreviewed,Ribonuclease T2,RNASET2,Homo sapiens (Human),306
RNASET2,D6REQ6,D6REQ6_HUMAN,unreviewed,"Ribonuclease T2 (Ribonuclease T2, isoform CRA_c)",RNASET2 hCG_15018,Homo sapiens (Human),218
RNASET2,D6RHI9,D6RHI9_HUMAN,unreviewed,Ribonuclease T2 (Fragment),RNASET2,Homo sapiens (Human),253
RNASET2,J3QQ64,J3QQ64_HUMAN,unreviewed,Ribonuclease T2,RNASET2,Homo sapiens (Human),71
RNASET2,O00584,RNT2_HUMAN,reviewed,Ribonuclease T2 (EC 4.6.1.19) (Ribonuclease 6),RNASET2 RNASE6PL,Homo sapiens (Human),256
C6orf70,Q5T6L9,EMARD_HUMAN,reviewed,Endoplasmic reticulum membrane-associated RNA degradation protein (ER membrane-associated RNA degradation protein),ERMARD C6orf70,Homo sapiens (Human),678
FAM20C,A0A0G2JQD6,A0A0G2JQD6_HUMAN,unreviewed,Extracellular serine/threonine protein kinase FAM20C (Fragment),FAM20C,Homo sapiens (Human),261
FAM20C,Q8IXL6,FA20C_HUMAN,reviewed,Extracellular serine/threonine protein kinase FAM20C (EC 2.7.11.1) (Dentin matrix protein 4) (DMP-4) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK),FAM20C DMP4,Homo sapiens (Human),584
HEATR2,Q86Y56,DAAF5_HUMAN,reviewed,"Dynein assembly factor 5, axonemal (HEAT repeat-containing protein 2)",DNAAF5 HEATR2,Homo sapiens (Human),855
LFNG,A0A087X191,A0A087X191_HUMAN,unreviewed,"Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe",LFNG,Homo sapiens (Human),248
LFNG,Q8NES3,LFNG_HUMAN,reviewed,"Beta-1,3-N-acetylglucosaminyltransferase lunatic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)",LFNG,Homo sapiens (Human),379
BRAT1,F8WDN5,F8WDN5_HUMAN,unreviewed,BRCA1-associated ATM activator 1,BRAT1,Homo sapiens (Human),168
BRAT1,Q6PJG6,BRAT1_HUMAN,reviewed,BRCA1-associated ATM activator 1 (BRCA1-associated protein required for ATM activation protein 1),BRAT1 BAAT1 C7orf27,Homo sapiens (Human),821
CARD11,A0A024R854,A0A024R854_HUMAN,unreviewed,"Caspase recruitment domain family, member 11, isoform CRA_a",CARD11 hCG_18438,Homo sapiens (Human),1154
CARD11,A0A192GQE0,A0A192GQE0_HUMAN,unreviewed,Caspase recruitment domain-containing protein 11 (Fragment),CARD11,Homo sapiens (Human),51
CARD11,A0A192GQF6,A0A192GQF6_HUMAN,unreviewed,Caspase recruitment domain-containing protein 11 (Fragment),CARD11,Homo sapiens (Human),108
CARD11,A0A192GQG0,A0A192GQG0_HUMAN,unreviewed,Caspase recruitment domain-containing protein 11 (Fragment),CARD11,Homo sapiens (Human),59
CARD11,A0A192GQM1,A0A192GQM1_HUMAN,unreviewed,Caspase recruitment domain-containing protein 11 (Fragment),CARD11,Homo sapiens (Human),42
CARD11,A0A192GRC6,A0A192GRC6_HUMAN,unreviewed,Caspase recruitment domain-containing protein 11 (Fragment),CARD11,Homo sapiens (Human),60
CARD11,A0A192GRD0,A0A192GRD0_HUMAN,unreviewed,Caspase recruitment domain-containing protein 11 (Fragment),CARD11,Homo sapiens (Human),66
CARD11,E2QRC0,E2QRC0_HUMAN,unreviewed,Caspase recruitment domain-containing protein 11 (Fragment),CARD11,Homo sapiens (Human),73
CARD11,H7BY05,H7BY05_HUMAN,unreviewed,Caspase recruitment domain-containing protein 11 (Fragment),CARD11,Homo sapiens (Human),271
CARD11,Q9BXL7,CAR11_HUMAN,reviewed,Caspase recruitment domain-containing protein 11 (CARD-containing MAGUK protein 1) (Carma 1),CARD11 CARMA1,Homo sapiens (Human),1154
AP5Z1,A0A3B3IRY2,A0A3B3IRY2_HUMAN,unreviewed,AP-5 complex subunit zeta-1,AP5Z1,Homo sapiens (Human),70
AP5Z1,A0A3B3IRY4,A0A3B3IRY4_HUMAN,unreviewed,AP-5 complex subunit zeta-1 (Fragment),AP5Z1,Homo sapiens (Human),118
AP5Z1,A0A3B3IS81,A0A3B3IS81_HUMAN,unreviewed,AP-5 complex subunit zeta-1 (Fragment),AP5Z1,Homo sapiens (Human),318
AP5Z1,A0A3B3ISJ0,A0A3B3ISJ0_HUMAN,unreviewed,AP-5 complex subunit zeta-1,AP5Z1,Homo sapiens (Human),488
AP5Z1,A0A3B3ISN8,A0A3B3ISN8_HUMAN,unreviewed,AP-5 complex subunit zeta-1 (Fragment),AP5Z1,Homo sapiens (Human),145
AP5Z1,A0A3B3ITJ1,A0A3B3ITJ1_HUMAN,unreviewed,AP-5 complex subunit zeta-1,AP5Z1,Homo sapiens (Human),155
AP5Z1,A0A3B3IU94,A0A3B3IU94_HUMAN,unreviewed,AP-5 complex subunit zeta-1 (Fragment),AP5Z1,Homo sapiens (Human),148
AP5Z1,O43299,AP5Z1_HUMAN,reviewed,AP-5 complex subunit zeta-1 (Adaptor-related protein complex 5 zeta subunit) (Zeta5),AP5Z1 KIAA0415 SPG48,Homo sapiens (Human),807
ACTB,A0A2R8Y793,A0A2R8Y793_HUMAN,unreviewed,"Actin, cytoplasmic 1 (Fragment)",ACTB,Homo sapiens (Human),309
ACTB,A0A2R8YEA7,A0A2R8YEA7_HUMAN,unreviewed,"Actin, cytoplasmic 1 (Fragment)",ACTB,Homo sapiens (Human),157
ACTB,A0A2R8YFE2,A0A2R8YFE2_HUMAN,unreviewed,"Actin, cytoplasmic 1 (Fragment)",ACTB,Homo sapiens (Human),79
ACTB,A0A2R8YGF8,A0A2R8YGF8_HUMAN,unreviewed,"Actin, cytoplasmic 1 (Fragment)",ACTB,Homo sapiens (Human),165
ACTB,A0A510GJR4,A0A510GJR4_HUMAN,unreviewed,Beta-actin (Fragment),ACTB,Homo sapiens (Human),23
ACTB,A0AUL6,A0AUL6_HUMAN,unreviewed,ACTB protein (Fragment),ACTB,Homo sapiens (Human),103
ACTB,C9JTX5,C9JTX5_HUMAN,unreviewed,"Actin, cytoplasmic 1 (Fragment)",ACTB,Homo sapiens (Human),80
ACTB,C9JUM1,C9JUM1_HUMAN,unreviewed,"Actin, cytoplasmic 1 (Fragment)",ACTB,Homo sapiens (Human),96
ACTB,C9JZR7,C9JZR7_HUMAN,unreviewed,"Actin, cytoplasmic 1 (Fragment)",ACTB,Homo sapiens (Human),102
ACTB,E7EVS6,E7EVS6_HUMAN,unreviewed,"Actin, cytoplasmic 1 (Fragment)",ACTB,Homo sapiens (Human),163
ACTB,G5E9R0,G5E9R0_HUMAN,unreviewed,"Actin, cytoplasmic 1 (HCG15971, isoform CRA_b)",ACTB hCG_15971,Homo sapiens (Human),125
ACTB,G8FSY7,G8FSY7_HUMAN,unreviewed,Beta actin (Fragment),ACTB,Homo sapiens (Human),230
ACTB,P60709,ACTB_HUMAN,reviewed,"Actin, cytoplasmic 1 (Beta-actin) [Cleaved into: Actin, cytoplasmic 1, N-terminally processed]",ACTB,Homo sapiens (Human),375
ACTB,Q9UMN3,Q9UMN3_HUMAN,unreviewed,ACTB protein (Fragment),ACTB,Homo sapiens (Human),17
PMS2,A0A2R8Y6S3,A0A2R8Y6S3_HUMAN,unreviewed,Mismatch repair endonuclease PMS2,PMS2,Homo sapiens (Human),727
PMS2,A5YRY4,A5YRY4_HUMAN,unreviewed,PMS2 postmeiotic segregation increased 2 (Fragment),PMS2,Homo sapiens (Human),56
PMS2,C9J167,C9J167_HUMAN,unreviewed,Mismatch repair endonuclease PMS2,PMS2,Homo sapiens (Human),756
PMS2,P54278,PMS2_HUMAN,reviewed,Mismatch repair endonuclease PMS2 (EC 3.1.-.-) (DNA mismatch repair protein PMS2) (PMS1 protein homolog 2),PMS2 PMSL2,Homo sapiens (Human),862
PMS2,Q5FBW7,Q5FBW7_HUMAN,unreviewed,Postmeiotic segregation increased 2 nirs variant 6,PMS2,Homo sapiens (Human),30
PMS2,Q5FBW8,Q5FBW8_HUMAN,unreviewed,Postmeiotic segregation increased 2 nirs variant 5,PMS2,Homo sapiens (Human),756
PMS2,Q5FBX0,Q5FBX0_HUMAN,unreviewed,Postmeiotic segregation increased 2 nirs variant 3,PMS2,Homo sapiens (Human),11
ISPD,A4D126,ISPD_HUMAN,reviewed,D-ribitol-5-phosphate cytidylyltransferase (EC 2.7.7.40) (2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase-like protein) (Isoprenoid synthase domain-containing protein) (hISPD),CRPPA ISPD,Homo sapiens (Human),451
TWIST1,H7BY00,H7BY00_HUMAN,unreviewed,Twist-related protein 1 (Fragment),TWIST1,Homo sapiens (Human),135
TWIST1,H7C4D7,H7C4D7_HUMAN,unreviewed,Twist-related protein 1 (Fragment),TWIST1,Homo sapiens (Human),70
TWIST1,Q15672,TWST1_HUMAN,reviewed,Twist-related protein 1 (Class A basic helix-loop-helix protein 38) (bHLHa38) (H-twist),TWIST1 BHLHA38 TWIST,Homo sapiens (Human),202
DNAH11,A0A024RA50,A0A024RA50_HUMAN,unreviewed,"Dynein, axonemal, heavy polypeptide 11, isoform CRA_c",DNAH11 hCG_1818198,Homo sapiens (Human),2713
DNAH11,A0A087WYC6,A0A087WYC6_HUMAN,unreviewed,"Dynein heavy chain 11, axonemal",DNAH11,Homo sapiens (Human),4523
DNAH11,A0A0C4DFR0,A0A0C4DFR0_HUMAN,unreviewed,"Dynein heavy chain 11, axonemal",DNAH11,Homo sapiens (Human),4523
DNAH11,C0JYZ1,C0JYZ1_HUMAN,unreviewed,"Dynein, axonemal, heavy chain 11",DNAH11,Homo sapiens (Human),4522
DNAH11,H9NAJ7,H9NAJ7_HUMAN,unreviewed,Axonemal dynein heavy chain 11 (Fragment),DNAH11,Homo sapiens (Human),224
DNAH11,H9NAJ8,H9NAJ8_HUMAN,unreviewed,Axonemal dynein heavy chain 11 (Fragment),DNAH11,Homo sapiens (Human),242
DNAH11,L0R5A4,L0R5A4_HUMAN,unreviewed,Alternative protein DNAH11,DNAH11,Homo sapiens (Human),41
DNAH11,O43352,O43352_HUMAN,unreviewed,"Dynein, axonemal, heavy polypeptide 11 (DNAH11) (Fragment)",DNAH11,Homo sapiens (Human),1031
DNAH11,O95705,O95705_HUMAN,unreviewed,"Dynein, axonemal, heavy polypeptide 11 (DNAH11) (Fragment)",DNAH11,Homo sapiens (Human),1020
DNAH11,Q75KM7,Q75KM7_HUMAN,unreviewed,"Dynein, axonemal, heavy polypeptide 11 (DNAH11) (Fragment)",DNAH11,Homo sapiens (Human),453
DNAH11,Q75MY1,Q75MY1_HUMAN,unreviewed,"Dynein, axonemal, heavy polypeptide 11 (DNAH11) (Fragment)",DNAH11,Homo sapiens (Human),117
DNAH11,Q96DT5,DYH11_HUMAN,reviewed,"Dynein heavy chain 11, axonemal (Axonemal beta dynein heavy chain 11) (Ciliary dynein heavy chain 11)",DNAH11,Homo sapiens (Human),4516
DNAH11,U3KQN2,U3KQN2_HUMAN,unreviewed,"Dynein heavy chain 11, axonemal (Fragment)",DNAH11,Homo sapiens (Human),174
FAM126A,A0A0S2Z6M9,A0A0S2Z6M9_HUMAN,unreviewed,Family with sequence similarity 126 member A isoform 3,FAM126A,Homo sapiens (Human),406
FAM126A,B8ZZA2,B8ZZA2_HUMAN,unreviewed,Hyccin,FAM126A,Homo sapiens (Human),114
FAM126A,H7C0W7,H7C0W7_HUMAN,unreviewed,Hyccin (Fragment),FAM126A,Homo sapiens (Human),471
FAM126A,Q9BYI3,HYCCI_HUMAN,reviewed,Hyccin (Down-regulated by CTNNB1 protein A) (Protein FAM126A),FAM126A DRCTNNB1A,Homo sapiens (Human),521
